526 Hudson St,Hoboken,5,6.5,N/A,13000,No,2,0.79
313 1st St Unit 3A,Hoboken,2,2,N/A,3450,No,2,NA
808 Washington St Unit 5,Hoboken,2,2,1600,4500,No,2,0.39
808 Washington St Apt 4,Hoboken,2,2,1600,4500,Yes,2,0.39
808 Washington St Apt 3,Hoboken,2,2,1600,4500,Yes,2,0.39
808 Washington St Apt 2,Hoboken,2,2,1600,4500,Yes,1,0.39
91 Adams St Apt 1,Hoboken,1,1,870,2500,No,2,0.78
312 Madison St Apt 3B,Hoboken,2,2,N/A,3100,Yes,2,1.92
100 Marshall St Apt 418,Hoboken,2,2,1200,3050,No,2,1.27
100 Marshall St Apt 417,Hoboken,2,2,1150,3050,Yes,2,1.27
100 Marshall St Unit 315,Hoboken,2,2,N/A,3000,No,2,1.27
17 Irving St Unit 2,Hoboken,3,1,500,2100,Yes,2,NA
1201 Adams St Apt 601,Hoboken,1,1,700,4000,No,2,1.22
1114 Hudson St Apt 5,Hoboken,2,1,870,2700,Yes,2,0.38
255 10th St Apt 10,Hoboken,2,2,836,2900,Yes,2,NA
416 Grand St Apt 5B,Hoboken,2,2,1600,4600,No,2,1.51
416 Grand St Apt 5B,Hoboken,2,2,1600,4600,No,2,1.51
2 Paterson Ave Apt 4B,Hoboken,2,2.5,N/A,3500,No,2,NA
89 Grand St Apt F,Hoboken,2,2,N/A,3900,No,2,0.92
1025 Maxwell Ln Apt 804,Hoboken,2,2,1825,5980,Yes,2,NA
100 Marshall St Apt 414,Hoboken,2,2,738,3050,Yes,2,1.27
100 Marshall St Unit 511,Hoboken,1,1,836,2575,Yes,2,1.27
1314 Hudson St Apt 1,Hoboken,1,1.5,N/A,4350,Yes,2,0.67
1222 Washington St Apt 5S,Hoboken,2,1,925,2650,Yes,2,0.61
800 Jackson St,Hoboken,2,2,1150,3400,Yes,2,1.32
100 Marshall St Unit 513,Hoboken,1,1,975,2650,Yes,2,1.27
225 River St Apt 1801,Hoboken,1,1,1600,5500,No,2,1.12
82 Clinton St Apt 2G,Hoboken,2,2,1200,3300,Yes,2,0.83
920 Hudson St Apt 3E,Hoboken,1,1,1150,2950,Yes,2,0.09
729 Madison St Apt 2F,Hoboken,1,1,870,2800,Yes,2,1.33
1313 Willow Ave Apt 2A,Hoboken,2,2,870,2600,Yes,2,1.1
322 Washington St Apt 3,Hoboken,1,1,870,2500,Yes,2,1.14
839 Garden St Unit 1,Hoboken,1,1,1000,2100,Yes,2,0.57
533 Monroe St Apt 2A,Hoboken,1,1,650,2075,Yes,2,NA
