location,bedroom,bathroom,square,rent,pet,style,distance,average
Weehawken,2,2,"1,214","3,425",Yes,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,425",Yes,A,2<d<4,BAD
Weehawken,2,2,N/A,"3,425",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"5,150",Yes,A,2<d<4,BAD
Weehawken,2,2,1275,"3,450",Yes,A,2<d<4,BAD
Weehawken,2,2,1275,"3,450",No,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,450",No,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,450",Yes,A,2<d<4,BAD
Weehawken,2,2,"1,214","3,495",Yes,A,2<d<4,BAD
Weehawken,2,2,N/A,"3,550",Yes,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,555",Yes,A,2<d<4,BAD
Weehawken,2,2,N/A,"3,610",Yes,A,2<d<4,BAD
Weehawken,2,2,1150,3615,No,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,615",Yes,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,710",No,A,2<d<4,BAD
Weehawken,2,2,"1,214","3,710",Yes,A,2<d<4,BAD
Weehawken,1,1,574,"2,190",Yes,A,2<d<4,BAD
Weehawken,1,1,574,"2,190",Yes,A,2<d<4,BAD
Weehawken,1,1,706,"2,480",No,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,486",Yes,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,489",Yes,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,489",Yes,A,2<d<4,BAD
Weehawken,1,1,800,"2,499",Yes,A,2<d<4,BAD
Weehawken,1,1,800,"2,513",No,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,513",No,A,2<d<4,BAD
Weehawken,1,1,706,"2,519",No,A,2<d<4,BAD
Weehawken,1,1,706,"2,519",No,A,2<d<4,BAD
Weehawken,1,1,800,"2,520",No,A,2<d<4,BAD
Weehawken,1,1,706,"2,535",Yes,A,2<d<4,BAD
Weehawken,1,1,574,"2,540",Yes,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,550",Yes,A,2<d<4,BAD
Weehawken,1,1,706,"2,550",No,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,550",Yes,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,550",Yes,A,2<d<4,BAD
Weehawken,1,1,706,"2,556",No,A,2<d<4,BAD
Weehawken,1,1,800,"2,595",Yes,A,2<d<4,BAD
Weehawken,1,1,706,"2,595",Yes,A,2<d<4,BAD
Weehawken,1,1,800,"2,595",No,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,641",No,A,2<d<4,BAD
Weehawken,1,1,800,"2,641",No,A,2<d<4,BAD
Weehawken,1,1,800,"2,641",Yes,A,2<d<4,BAD
Weehawken,1,1,1150,3420,Yes,A,2<d<4,BAD
Union City,2,2,"1,135","2,000",No,B,2<d<4,GOOD
Union City,2,2,"1,275","2,175",No,B,2<d<4,GOOD
Union City,2,2,"1,425","2,400",Yes,B,2<d<4,GOOD
Jersey City,1,1,280,1200,No,B,2<d<4,GOOD
Weehawken,2,3,1150,3700,No,B,2<d<4,BAD
Union City,2,1,800,"1,595",No,C,2<d<4,GOOD
Union City,1,1,800,"2,050",No,C,2<d<4,BAD
Union City,1,1,800,"2,050",Yes,C,2<d<4,BAD
Union City,1,1,926,"2,250",Yes,C,2<d<4,BAD
Jersey City,3,2,560,2400,Yes,B,2<d<4,GOOD
Jersey City,2,2,705,2300,Yes,B,2<d<4,GOOD
Jersey City,3,1,500,2000,No,B,2<d<4,GOOD
Jersey City,3,1,444,1800,No,B,2<d<4,GOOD
Jersey City,2,1,400,1650,No,B,2<d<4,GOOD
Jersey City,2,1,499,1900,No,B,2<d<4,GOOD
Jersey City,2,1,505,1900,No,B,2<d<4,GOOD
Jersey City,3,1,440,1800,No,B,2<d<4,GOOD
Jersey City,2,2,612,2900,Yes,B,2<d<4,BAD
Jersey City,1,1,380,1250,No,B,2<d<4,GOOD
Union City,2,1,985,"1,800",No,B,2<d<4,GOOD
Union City,1,1,847,"1,395",No,B,2<d<4,GOOD
Jersey City,1,1,203,1350,No,B,2<d<4,GOOD
Jersey City,1,1,450,1375,No,A,2<d<4,GOOD
Jersey City,3,2,573,2600,Yes,B,2<d<4,GOOD
Jersey City,3,2,578,2800,Yes,B,2<d<4,GOOD
Union City,3,1,825,"1,350",No,A,2<d<4,GOOD
Weehawken,3,1,706,"2,188",Yes,A,2<d<4,GOOD
Weehawken,3,1,624,"2,189",Yes,A,2<d<4,GOOD
Weehawken,3,1,624,"2,543",Yes,A,2<d<4,GOOD
Weehawken,3,1,706,"2,544",Yes,A,2<d<4,GOOD
Weehawken,3,1,706,"2,848",Yes,A,2<d<4,GOOD
Weehawken,3,2,1275,"3,475",No,B,2<d<4,GOOD
Weehawken,3,2,1150,3475,Yes,B,2<d<4,GOOD
Weehawken,4,3,"1,214","4,950",Yes,B,2<d<4,GOOD
Weehawken,2,1,706,"2,675",Yes,B,2<d<4,GOOD
Weehawken,2,1,706,"2,675",Yes,B,2<d<4,GOOD
Weehawken,3,2,"1,214","4,675",Yes,A,2<d<4,BAD
Weehawken,3,2,1275,"4,675",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,675",No,A,2<d<4,BAD
Weehawken,3,2,1400,"4,775",No,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,775",Yes,A,2<d<4,BAD
Weehawken,3,2,"1,214","4,850",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,875",No,A,2<d<4,BAD
Weehawken,3,2,1400,"4,875",No,A,2<d<4,BAD
Weehawken,3,2,"1,214","4,895",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,925",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,925",Yes,A,2<d<4,BAD
Weehawken,2,2,N/A,"3,365",Yes,A,2<d<4,BAD
Weehawken,2,2,900,"3,365",No,A,2<d<4,BAD
Weehawken,2,2,1150,3365,Yes,A,2<d<4,BAD
Weehawken,2,3,N/A,"3,370",Yes,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,450",Yes,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,450",Yes,A,2<d<4,BAD
Weehawken,2,2,1150,3475,No,A,2<d<4,BAD
Weehawken,2,2,"1,214","3,475",Yes,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,475",Yes,A,2<d<4,BAD
Weehawken,2,2,1275,"3,525",No,A,2<d<4,BAD
Weehawken,2,2,1150,3525,No,A,2<d<4,BAD
Weehawken,2,2,N/A,"3,550",No,A,2<d<4,BAD
Weehawken,2,2,N/A,"3,565",Yes,A,2<d<4,BAD
